O/E,Error,Tests,Inputs,Hidden Layers,Hidden Layer Neuron Count,Eta,Momentum,Alpha,Range,Density,Logistic Alpha
4.200262533980481,25.016305116841114,2515,2,0,0,0.2,false,0.25,0.75,350,0.9700000000000006
4.362321589679449,24.683007874733313,2515,2,0,0,0.2,false,0.25,0.75,350,0.9800000000000006
3.9381476346456554,25.055650448532937,2515,2,0,0,0.2,false,0.25,0.75,350,0.9900000000000007
4.056173856527468,24.20437032303056,2515,2,0,0,0.2,false,0.25,0.75,350,0.01
4.223777762601709,23.92823755392647,2515,2,0,0,0.2,false,0.25,0.75,350,0.02
4.097455965166041,25.2192524258517,2515,2,0,0,0.2,false,0.25,0.75,350,0.03
3.863938427150443,23.883005938561073,2515,2,0,0,0.2,false,0.25,0.75,350,0.04
4.154528398607889,23.874012197884316,2515,2,0,0,0.2,false,0.25,0.75,350,0.05
4.269975425540888,24.692281935022596,2515,2,0,0,0.2,false,0.25,0.75,350,0.060000000000000005
4.5533500342799105,24.575070464235658,2515,2,0,0,0.2,false,0.25,0.75,350,0.07
4.215791785289441,24.628865437206382,2515,2,0,0,0.2,false,0.25,0.75,350,0.08
3.98456516789922,23.536110753373148,2515,2,0,0,0.2,false,0.25,0.75,350,0.09
4.102067805696631,24.309874306864558,2515,2,0,0,0.2,false,0.25,0.75,350,0.09999999999999999
3.9360366767367236,23.580068147783145,2515,2,0,0,0.2,false,0.25,0.75,350,0.10999999999999999
4.264628050034529,24.94554855280626,2515,2,0,0,0.2,false,0.25,0.75,350,0.11999999999999998
4.113090450345202,24.915777522556777,2515,2,0,0,0.2,false,0.25,0.75,350,0.12999999999999998
4.1122045419585564,24.81166345756618,2515,2,0,0,0.2,false,0.25,0.75,350,0.13999999999999999
4.011190702716745,24.290653478440646,2515,2,0,0,0.2,false,0.25,0.75,350,0.15
4.407072028692178,24.822470524988876,2515,2,0,0,0.2,false,0.25,0.75,350,0.16
4.297334131982326,24.492056797431598,2515,2,0,0,0.2,false,0.25,0.75,350,0.17
3.782908400294757,24.80099919664018,2515,2,0,0,0.2,false,0.25,0.75,350,0.18000000000000002
4.116399162608108,24.706261937242846,2515,2,0,0,0.2,false,0.25,0.75,350,0.19000000000000003
3.8601150122324404,24.954754574588936,2515,2,0,0,0.2,false,0.25,0.75,350,0.20000000000000004
4.130406610103163,23.999815973713815,2515,2,0,0,0.2,false,0.25,0.75,350,0.21000000000000005
4.178912371925313,24.157619989779327,2515,2,0,0,0.2,false,0.25,0.75,350,0.22000000000000006
3.965202243798866,23.705081392140766,2515,2,0,0,0.2,false,0.25,0.75,350,0.23000000000000007
4.299418170710423,24.663244532965393,2515,2,0,0,0.2,false,0.25,0.75,350,0.24000000000000007
3.9830829644808525,24.226287660830042,2515,2,0,0,0.2,false,0.25,0.75,350,0.25000000000000006
4.040578021654769,23.467611855691725,2515,2,0,0,0.2,false,0.25,0.75,350,0.26000000000000006
4.314445328232176,24.6119762652923,2515,2,0,0,0.2,false,0.25,0.75,350,0.2700000000000001
3.573999670762046,24.513531667934746,2515,2,0,0,0.2,false,0.25,0.75,350,0.2800000000000001
4.227226392171776,25.24813970394199,2515,2,0,0,0.2,false,0.25,0.75,350,0.2900000000000001
4.367745332829734,23.88252572259131,2515,2,0,0,0.2,false,0.25,0.75,350,0.3000000000000001
4.325850855637938,24.8652422910069,2515,2,0,0,0.2,false,0.25,0.75,350,0.3100000000000001
4.290662482263976,23.726629049779362,2515,2,0,0,0.2,false,0.25,0.75,350,0.3200000000000001
4.2166410126023015,24.35463546659037,2515,2,0,0,0.2,false,0.25,0.75,350,0.3300000000000001
4.46824091641429,25.56041617725967,2515,2,0,0,0.2,false,0.25,0.75,350,0.34000000000000014
4.185197422802679,25.406362616155132,2515,2,0,0,0.2,false,0.25,0.75,350,0.35000000000000014
4.085688620228017,23.956647553479378,2515,2,0,0,0.2,false,0.25,0.75,350,0.36000000000000015
3.6717362875466124,23.792606902086515,2515,2,0,0,0.2,false,0.25,0.75,350,0.37000000000000016
4.084239200961381,24.576487742579857,2515,2,0,0,0.2,false,0.25,0.75,350,0.38000000000000017
4.0814313346902065,24.638996113115862,2515,2,0,0,0.2,false,0.25,0.75,350,0.3900000000000002
4.149987108805629,24.00991852085247,2515,2,0,0,0.2,false,0.25,0.75,350,0.4000000000000002
4.330667567352842,24.783810438319442,2515,2,0,0,0.2,false,0.25,0.75,350,0.4100000000000002
4.073260815342045,24.938073157884016,2515,2,0,0,0.2,false,0.25,0.75,350,0.4200000000000002
3.7909328460006715,24.85161601674373,2515,2,0,0,0.2,false,0.25,0.75,350,0.4300000000000002
4.150376373459197,24.128558453474913,2515,2,0,0,0.2,false,0.25,0.75,350,0.4400000000000002
4.0318562987694,24.893496839996885,2515,2,0,0,0.2,false,0.25,0.75,350,0.45000000000000023
4.159782495636045,24.16886554553823,2515,2,0,0,0.2,false,0.25,0.75,350,0.46000000000000024
4.132409070376974,24.739885786745596,2515,2,0,0,0.2,false,0.25,0.75,350,0.47000000000000025
4.35879072553444,24.90741776723717,2515,2,0,0,0.2,false,0.25,0.75,350,0.48000000000000026
4.296327607039413,23.395396793807098,2515,2,0,0,0.2,false,0.25,0.75,350,0.49000000000000027
3.857576302688048,23.575098959838986,2515,2,0,0,0.2,false,0.25,0.75,350,0.5000000000000002
4.284037435583804,24.676901197836013,2515,2,0,0,0.2,false,0.25,0.75,350,0.5100000000000002
3.944326454911395,24.42341603348695,2515,2,0,0,0.2,false,0.25,0.75,350,0.5200000000000002
3.967267397076473,23.436536326850725,2515,2,0,0,0.2,false,0.25,0.75,350,0.5300000000000002
4.286427234271501,24.872871246795427,2515,2,0,0,0.2,false,0.25,0.75,350,0.5400000000000003
4.288635047629001,24.28466008054859,2515,2,0,0,0.2,false,0.25,0.75,350,0.5500000000000003
4.099437478178724,23.839512955995612,2515,2,0,0,0.2,false,0.25,0.75,350,0.5600000000000003
4.1331680261312655,24.79087756833632,2515,2,0,0,0.2,false,0.25,0.75,350,0.5700000000000003
